arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
337.00,0.00,19.72,19.00,0.00,38.00,0.00,9.87,8.40
335.00,0.00,22.14,5.00,0.00,48.00,3.00,14.37,8.49
307.00,0.00,26.89,5.00,2.00,66.00,3.97,13.18,21.96
286.00,0.21,31.40,3.00,1.00,89.00,3.78,10.37,43.24
306.00,0.00,26.84,1.00,0.00,94.00,5.09,16.21,45.86
263.00,0.00,10.58,1.00,1.00,50.00,3.46,8.38,27.58
271.00,0.00,11.85,2.00,0.00,31.00,1.12,9.21,8.82
289.00,0.22,20.88,2.00,0.00,44.00,0.26,8.49,14.15
297.00,0.00,27.54,1.00,1.00,56.00,0.34,10.99,17.13
328.00,0.00,23.61,12.00,0.00,43.00,0.32,9.43,9.64
316.00,1.00,24.69,3.00,0.00,62.00,1.25,12.06,23.00
302.00,0.63,17.55,0.00,0.00,40.00,0.02,12.76,9.04
344.00,0.00,15.17,2.00,2.00,35.00,2.01,11.23,6.59
323.00,0.00,20.78,0.00,0.00,53.00,1.00,14.07,17.15
346.00,0.83,36.97,2.00,2.00,78.00,2.41,18.20,19.58
357.00,0.14,32.76,1.00,0.00,71.00,0.32,20.58,17.20
120.00,0.00,18.03,1.00,1.00,31.00,0.19,4.37,8.42
124.00,0.00,10.09,4.00,0.00,32.00,4.61,8.76,8.53
120.00,0.00,8.66,0.00,0.00,27.00,2.76,4.16,11.43
124.00,0.00,18.20,4.00,0.00,36.00,0.00,8.22,9.59
111.00,0.00,7.94,9.00,0.00,22.00,0.40,6.98,6.67
118.00,0.00,8.68,1.00,0.00,24.00,0.00,4.48,10.84
119.00,0.00,13.24,3.00,1.00,33.00,0.00,3.80,15.96
113.00,0.00,13.05,1.00,0.00,27.00,1.26,2.70,9.99
120.00,0.00,9.33,2.00,0.00,17.00,1.07,1.34,5.26
116.00,0.00,11.72,0.00,0.00,25.00,0.60,6.97,5.71
121.00,0.00,18.88,2.00,0.00,35.00,2.38,4.45,9.29
122.00,0.00,21.70,1.00,0.00,47.00,2.36,8.04,14.90
120.00,0.00,14.15,0.00,0.00,42.00,2.26,6.48,19.11
122.00,0.00,7.73,3.00,1.00,22.00,0.94,3.55,9.79
116.00,0.00,11.34,1.00,1.00,28.00,1.48,8.96,6.23
119.00,0.00,8.07,2.00,0.00,17.00,0.29,2.27,6.36
108.00,0.00,6.97,4.00,0.00,21.00,0.81,4.76,8.46
120.00,0.00,14.51,0.00,0.00,26.00,0.00,1.34,10.15
120.00,0.00,17.73,13.00,0.00,34.00,4.49,3.26,8.52
110.00,0.00,7.95,4.00,0.00,14.00,0.00,0.64,5.41
116.00,0.00,5.20,1.00,0.00,10.00,0.00,0.97,3.83
111.00,0.00,12.34,0.00,1.00,23.00,0.91,2.39,7.36
122.00,0.00,20.81,3.00,1.00,36.00,0.85,5.51,8.84
123.00,0.00,18.47,3.00,1.00,36.00,1.50,4.03,12.00
118.00,0.00,11.07,2.00,0.00,37.00,2.40,9.57,13.97
120.00,0.00,10.83,2.00,0.00,23.00,0.63,2.83,8.71
116.00,0.00,19.32,3.00,0.00,36.00,1.79,3.61,11.29
119.00,0.00,5.94,1.00,0.00,13.00,0.18,0.38,6.50
108.00,0.00,6.71,0.00,0.00,24.00,0.08,3.94,13.26
120.00,0.00,14.89,2.00,0.00,26.00,0.50,2.80,7.81
116.00,0.00,15.62,2.00,1.00,30.00,0.60,2.10,11.67
99.00,0.00,11.40,1.00,0.00,20.00,0.00,4.12,4.48
89.00,0.00,12.36,1.00,1.00,22.00,0.60,2.72,6.31
114.00,0.00,22.73,6.00,0.00,54.00,0.99,9.28,21.00
103.00,0.00,10.93,2.00,1.00,27.00,0.00,8.68,7.39
96.00,0.00,13.89,2.00,0.00,23.00,1.01,3.54,4.56
118.00,0.00,14.67,1.00,0.00,29.00,2.96,6.00,5.36
120.00,0.00,9.03,1.00,0.00,27.00,5.77,7.63,4.57
116.00,0.00,10.53,6.00,0.00,21.00,2.99,4.94,2.54
124.00,0.00,10.74,2.00,1.00,25.00,0.58,7.77,5.92
104.00,0.00,5.77,0.00,0.00,10.00,0.52,2.78,0.93
93.00,0.00,5.97,0.00,0.00,10.00,0.05,2.84,1.14
104.00,0.00,15.03,0.00,0.00,29.00,2.34,7.79,3.84
117.00,0.00,9.88,0.00,0.00,18.00,0.98,5.47,1.67
119.00,0.00,10.19,0.00,0.00,21.00,0.61,7.23,2.97
115.00,0.00,8.52,2.00,1.00,21.00,0.95,7.82,3.70
123.00,0.00,14.69,1.00,1.00,28.00,2.36,6.05,4.90
124.00,0.00,22.21,2.00,0.00,26.00,0.00,2.44,1.36
120.00,0.00,12.16,3.00,0.00,20.00,0.00,2.52,5.32
123.00,0.00,5.12,5.00,1.00,18.00,3.11,1.82,7.95
119.00,0.00,8.17,0.00,0.00,27.00,4.26,4.77,9.79
120.00,0.00,7.29,0.00,0.00,14.00,0.83,3.83,2.05
108.00,0.00,9.23,6.00,0.00,24.00,1.57,7.30,5.90
119.00,0.00,11.01,0.00,1.00,19.00,0.24,4.00,3.75
118.00,0.00,8.70,0.00,0.00,15.00,0.08,3.67,2.55
113.00,0.00,7.04,1.00,0.00,17.00,1.26,6.43,2.26
119.00,0.00,6.33,0.00,0.00,12.00,1.16,3.14,1.37
115.00,0.00,9.48,1.00,1.00,20.00,1.98,3.94,4.60
123.00,0.62,14.10,0.00,0.00,32.00,1.52,11.66,4.10
123.00,0.00,8.45,0.00,1.00,27.00,1.19,9.81,7.55
120.00,0.00,15.03,1.00,1.00,34.00,0.78,8.19,10.00
123.00,0.00,10.92,3.00,0.00,22.00,2.10,2.72,6.26
119.00,0.00,7.66,1.00,1.00,12.00,0.41,0.89,3.04
120.00,0.00,12.36,0.00,0.00,27.00,2.82,2.84,8.97
107.00,0.00,12.15,3.00,0.00,22.00,1.39,5.68,2.78
118.00,0.00,6.81,1.00,0.00,15.00,1.13,3.23,3.84
119.00,0.00,11.20,1.00,1.00,26.00,1.48,8.29,5.03
113.00,0.00,7.74,0.00,0.00,11.00,0.29,1.95,1.03
119.00,0.00,14.63,0.00,1.00,26.00,2.13,2.42,6.81
115.00,0.00,12.71,2.00,0.00,21.00,0.00,5.91,2.38
123.00,0.00,8.43,0.00,1.00,25.00,3.59,7.24,5.74
121.00,0.00,16.48,3.00,0.00,33.00,1.23,8.57,6.72
110.00,0.00,15.64,2.00,0.00,29.00,2.14,4.97,6.25
93.00,0.00,12.18,2.00,0.00,26.00,0.78,6.18,6.86
89.00,0.00,6.63,0.00,2.00,24.00,2.26,7.19,7.93
89.00,0.00,15.77,1.00,1.00,26.00,0.16,4.50,5.56
80.00,0.00,11.31,0.00,1.00,17.00,0.00,1.40,4.28
88.00,0.00,8.36,0.00,0.00,18.00,1.73,2.47,5.44
89.00,0.00,8.44,0.00,0.00,19.00,1.40,4.28,4.89
85.00,0.00,2.64,0.00,0.00,5.00,0.51,0.41,1.44
120.00,0.00,6.40,0.00,0.00,16.00,0.00,6.90,2.70
116.00,0.00,13.29,1.00,0.00,21.00,0.00,4.37,3.34
121.00,0.00,12.57,6.00,2.00,30.00,1.48,7.60,8.35
122.00,0.00,14.02,1.00,0.00,25.00,2.12,2.11,6.75
120.00,0.00,17.50,2.00,1.00,40.00,2.89,10.18,9.44
124.00,0.00,14.25,2.00,0.00,30.00,2.07,5.53,8.14
119.00,0.00,10.22,10.00,1.00,26.00,0.17,7.51,8.10
119.00,0.00,14.65,8.00,0.00,30.00,1.97,7.14,6.24
111.00,0.00,6.39,2.00,0.00,22.00,0.26,7.74,7.61
120.00,0.00,8.73,0.00,0.00,20.00,1.33,4.96,4.98
118.00,0.00,12.27,0.00,1.00,27.00,1.35,6.02,7.36
113.00,0.00,8.20,0.00,0.00,19.00,1.28,4.51,5.01
120.00,0.00,7.79,0.00,0.00,23.00,0.62,7.87,6.71
116.00,0.00,5.87,1.00,0.00,21.00,1.56,7.02,6.56
