arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
427.00,0.00,13.54,19.00,1.00,18.00,0.00,2.31,2.15
388.00,0.00,21.35,0.00,1.00,32.00,2.79,2.87,4.99
413.00,0.00,35.75,9.00,1.00,66.00,7.35,6.50,16.39
402.00,0.00,26.44,0.00,1.00,66.00,9.97,12.81,16.78
404.00,0.00,30.46,0.00,0.00,66.00,6.59,11.70,17.26
417.00,0.00,28.64,0.00,1.00,49.00,0.36,8.31,11.69
399.00,0.00,28.05,0.00,1.00,48.00,0.69,9.47,9.78
379.00,0.00,17.26,0.00,0.00,32.00,3.14,5.21,6.39
342.00,0.00,16.76,0.00,0.00,41.00,3.10,4.66,16.47
354.00,0.00,21.93,0.00,0.00,48.00,5.84,9.84,10.40
394.00,0.00,34.23,2.00,0.00,74.00,11.27,10.70,17.80
393.00,0.00,25.62,0.00,1.00,50.00,3.08,7.42,13.88
455.00,0.00,17.25,0.00,0.00,25.00,0.00,3.19,4.56
385.00,0.00,12.60,0.00,0.00,29.00,3.30,7.46,5.64
408.00,0.00,24.93,0.00,1.00,74.00,7.74,21.03,20.30
406.00,0.00,30.48,0.00,0.00,75.00,8.13,19.56,16.83
398.00,0.00,37.05,1.00,1.00,84.00,11.47,16.57,18.91
420.00,0.00,21.03,1.00,0.00,57.00,8.00,14.18,13.78
409.00,0.00,26.26,2.00,0.00,53.00,4.37,9.70,12.68
397.00,0.00,31.88,0.00,0.00,55.00,0.56,12.58,9.98
303.00,0.00,20.03,4.00,0.00,45.00,5.91,9.97,9.09
322.00,0.00,14.78,0.00,0.00,46.00,2.81,12.75,15.67
380.00,0.00,18.72,0.00,0.00,45.00,3.21,15.77,7.30
352.00,0.00,22.30,0.00,1.00,41.00,0.61,8.70,9.40
369.00,0.00,18.66,0.00,0.00,48.00,1.61,13.96,13.77
328.00,0.00,22.08,0.00,0.00,55.00,2.18,16.57,14.18
349.00,0.00,29.44,5.00,1.00,62.00,6.94,12.93,12.68
349.00,0.00,27.41,0.00,1.00,54.00,0.43,11.10,15.06
346.00,0.00,39.72,0.00,0.00,89.00,5.76,20.74,22.78
357.00,0.00,29.44,0.00,1.00,59.00,2.05,17.12,10.38
354.00,0.00,27.82,0.00,0.00,64.00,4.27,13.22,18.69
365.00,0.00,31.80,0.00,0.00,52.00,1.42,7.55,11.23
282.00,0.00,22.34,18.00,0.00,43.00,1.77,6.64,12.25
310.00,0.00,32.19,19.00,0.00,74.00,10.71,10.41,20.68
363.00,0.00,32.42,0.00,0.00,62.00,5.43,13.43,10.73
353.00,0.00,18.26,0.00,0.00,35.00,0.59,5.81,10.34
356.00,2.00,14.31,1.00,0.00,27.00,0.01,5.57,5.11
340.00,0.00,18.87,0.00,1.00,32.00,0.00,6.61,6.52
361.00,0.00,33.72,0.00,2.00,75.00,2.67,13.86,24.75
355.00,0.00,47.00,0.00,0.00,122.00,4.43,23.09,47.48
351.00,0.00,44.80,0.00,0.00,107.00,5.52,22.44,34.23
362.00,0.00,22.25,0.00,0.00,42.00,2.34,6.11,11.30
379.00,0.00,26.54,0.00,0.00,48.00,2.47,7.45,11.54
368.00,0.00,21.98,1.00,1.00,41.00,2.73,8.16,8.13
284.00,0.00,19.14,0.00,1.00,28.00,0.00,3.75,5.11
301.00,0.00,16.37,1.00,0.00,28.00,1.71,3.94,5.98
340.00,0.00,17.28,0.00,0.00,36.00,0.00,7.74,10.98
355.00,0.00,15.67,2.00,0.00,33.00,0.00,5.20,12.14
419.00,1.00,24.32,6.00,0.00,54.00,1.00,7.20,20.48
406.00,0.00,18.17,2.00,0.00,60.00,0.00,15.68,26.14
461.00,0.00,25.86,1.00,0.00,86.00,0.32,30.09,29.73
464.00,0.00,39.24,4.00,0.00,116.00,7.10,32.96,36.70
423.00,0.00,30.23,3.00,0.00,63.00,4.26,11.89,16.62
382.00,1.00,15.39,2.00,0.00,59.00,0.94,21.08,20.59
367.00,0.00,7.21,0.00,0.00,29.00,0.00,11.78,10.02
358.00,0.00,19.40,0.00,0.00,54.00,0.65,12.23,21.73
324.00,0.00,16.82,0.00,0.00,31.00,0.39,6.18,7.61
336.00,0.00,18.85,1.00,2.00,41.00,1.36,8.96,11.83
350.00,0.00,16.85,0.00,0.00,33.00,1.38,6.46,8.31
345.00,0.00,15.43,0.00,0.00,40.00,0.00,9.99,14.58
347.00,0.00,11.48,0.00,0.00,26.00,0.00,5.60,8.92
346.00,0.00,15.36,0.00,0.00,44.00,1.32,11.30,16.02
406.00,0.00,27.15,1.00,0.00,67.00,3.17,18.14,18.55
425.00,0.00,27.31,2.00,0.00,89.00,9.77,19.51,32.41
420.00,0.00,32.99,6.00,0.00,106.00,9.85,23.95,39.22
443.00,0.00,36.90,2.00,0.00,72.00,2.59,9.87,22.65
432.00,0.00,28.97,3.00,1.00,87.00,2.93,16.92,38.18
396.00,0.00,34.26,2.00,0.00,84.00,2.10,15.96,31.68
349.00,0.00,24.22,7.00,0.00,62.00,1.55,14.10,22.13
390.00,0.00,32.76,36.00,0.00,58.00,0.02,10.36,14.86
390.00,0.00,42.96,13.00,0.00,86.00,3.16,14.99,24.89
371.00,0.00,16.66,2.00,0.00,45.00,0.54,8.25,19.56
387.00,0.00,32.31,4.00,0.00,78.00,3.13,12.71,29.85
387.00,0.00,31.46,0.00,0.00,85.00,2.28,29.99,21.28
459.00,0.00,48.24,12.00,1.00,111.00,4.66,27.28,30.83
458.00,0.00,59.06,13.00,1.00,129.00,4.94,23.14,41.87
441.00,0.00,52.28,3.00,1.00,144.00,8.29,36.00,47.43
428.00,0.00,38.44,5.00,0.00,91.00,4.30,19.11,29.15
407.00,0.00,27.89,2.00,0.00,49.00,1.22,11.60,8.29
426.00,0.00,34.88,5.00,0.00,87.00,2.71,19.41,30.00
370.00,0.00,19.10,22.00,0.00,61.00,3.11,15.72,23.07
385.00,0.00,16.15,8.00,0.00,49.00,1.72,16.97,14.16
340.00,0.00,17.73,0.00,0.00,53.00,3.15,17.49,14.64
334.00,0.00,12.18,1.00,0.00,39.00,0.38,13.49,12.95
354.00,0.00,25.55,1.00,0.00,58.00,5.53,9.29,17.63
311.00,1.00,15.28,2.00,0.00,59.00,6.59,18.49,17.64
330.00,0.00,22.62,2.00,2.00,64.00,0.51,18.49,22.39
331.00,0.00,28.12,1.00,0.00,78.00,1.94,25.01,22.92
319.00,0.00,20.04,1.00,0.00,50.00,2.41,15.71,11.84
298.00,0.00,21.53,0.00,0.00,68.00,1.95,22.94,21.58
318.00,0.00,22.15,2.00,1.00,60.00,5.81,16.64,15.40
333.00,0.00,25.79,10.00,0.00,93.00,5.28,26.15,35.77
299.00,0.00,14.90,1.00,0.00,40.00,0.13,13.89,11.08
323.00,0.00,26.62,2.00,0.00,64.00,3.07,19.37,14.94
326.00,0.00,41.68,2.00,0.00,112.00,1.69,33.41,35.22
310.00,0.00,25.18,0.00,0.00,84.00,2.95,39.70,16.18
323.00,0.00,18.30,1.00,0.00,62.00,1.41,20.48,21.81
282.00,0.00,13.58,1.00,0.00,35.00,1.44,13.65,6.33
296.00,0.00,22.11,8.00,0.00,50.00,0.77,12.18,14.94
298.00,0.00,27.91,4.00,0.00,88.00,8.61,24.37,27.11
288.00,0.00,27.02,0.00,2.00,67.00,1.10,19.67,19.21
271.00,0.00,23.01,0.00,0.00,37.00,0.26,9.41,4.32
300.00,0.00,22.61,2.00,0.00,58.00,1.37,13.30,20.71
335.00,0.00,27.45,3.00,0.00,78.00,3.97,22.28,24.31
312.00,0.00,13.72,2.00,1.00,41.00,3.03,14.38,9.87
330.00,0.00,16.22,13.00,0.00,36.00,1.72,10.42,7.64
331.00,0.00,36.05,0.00,0.00,84.00,3.91,17.03,27.00
328.00,0.00,13.90,0.00,0.00,33.00,0.00,10.61,8.49
341.00,0.00,22.74,0.00,0.00,56.00,0.00,18.04,15.22
304.00,0.00,17.45,0.00,0.00,53.00,1.67,14.02,19.86
331.00,0.00,40.59,2.00,0.00,101.00,4.46,33.03,22.92
331.00,0.00,46.54,1.00,0.00,111.00,1.51,34.00,28.95
319.00,0.00,47.71,3.00,0.00,101.00,3.62,24.64,25.03
288.00,0.00,23.65,0.00,1.00,43.00,1.00,10.03,8.32
315.00,0.00,25.87,0.00,0.00,55.00,0.31,19.98,8.84
357.00,0.00,24.62,2.00,0.00,64.00,0.60,23.80,14.99
302.00,0.00,25.69,3.00,0.00,59.00,0.73,20.55,12.03
324.00,0.00,13.22,2.00,0.00,49.00,1.20,23.47,11.11
310.00,0.00,19.20,2.00,0.00,67.00,0.90,28.15,18.75
289.00,0.00,25.83,2.00,0.00,70.00,3.22,19.98,20.97
299.00,0.00,31.79,6.00,0.00,99.00,0.89,41.83,24.49
284.00,0.00,24.65,2.00,0.00,67.00,0.00,27.68,14.67
275.00,0.00,26.93,2.00,1.00,64.00,1.11,22.93,13.04
271.00,0.00,20.05,2.00,1.00,59.00,0.98,19.95,18.02
258.00,0.00,26.13,0.00,0.00,54.00,2.36,8.40,17.11
240.00,0.00,12.82,0.00,0.00,37.00,0.30,10.32,13.56
233.00,0.92,12.68,2.00,1.00,34.00,0.80,9.59,10.01
248.00,0.00,16.85,0.00,0.00,43.00,0.00,5.36,20.79
220.00,0.00,14.78,2.00,0.00,33.00,1.55,4.11,12.56
241.00,0.00,20.27,1.00,0.00,43.00,2.42,6.37,13.94
241.00,0.00,21.76,1.00,0.00,56.00,3.53,15.46,15.25
299.00,0.00,16.45,0.00,0.00,51.00,0.02,14.46,20.07
305.00,0.00,20.20,2.00,0.00,58.00,0.05,23.13,14.63
294.00,0.00,16.67,10.00,0.00,27.00,0.00,5.71,4.63
372.00,0.00,45.64,7.00,0.00,103.00,2.65,18.64,36.07
372.00,0.00,56.20,4.00,1.00,141.00,4.60,31.37,48.83
360.00,0.00,31.28,3.00,0.00,71.00,1.00,12.08,26.64
341.00,1.00,27.02,1.00,1.00,47.00,0.14,10.13,8.72
359.00,0.00,22.29,2.00,0.00,65.00,4.04,16.76,21.91
372.00,0.49,31.52,1.00,0.00,78.00,4.25,12.01,29.72
336.00,0.00,27.69,2.00,0.00,63.00,1.30,13.10,20.92
364.00,0.00,21.66,18.00,0.00,47.00,1.29,13.45,10.59
361.00,0.00,50.68,5.00,0.00,97.00,1.90,19.97,24.45
350.00,0.00,28.26,2.00,0.00,68.00,2.56,9.35,27.84
367.00,0.00,33.07,2.00,0.00,66.00,1.23,18.94,12.76
