arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
360.00,0.00,12.81,25.00,2.00,42.00,0.00,3.70,25.49
347.00,0.00,12.78,1.00,1.00,46.00,0.83,5.12,27.26
373.00,0.00,27.39,0.00,0.00,86.00,1.67,9.31,47.63
421.00,0.00,52.76,11.00,0.00,154.00,3.77,14.28,83.19
411.00,0.00,46.98,6.00,0.00,124.00,2.75,13.57,60.69
413.00,0.00,28.49,1.00,0.00,83.00,1.57,8.29,44.65
397.00,0.00,22.56,2.00,0.00,67.00,0.00,10.72,33.73
384.00,0.00,16.82,1.00,0.00,59.00,0.00,7.44,34.75
311.00,0.00,22.16,4.00,1.00,50.00,2.72,8.44,16.68
340.00,0.00,24.28,10.00,0.00,53.00,0.37,8.03,20.32
365.00,0.00,37.53,4.00,0.00,88.00,0.14,12.14,38.19
360.00,1.00,25.88,0.00,1.00,70.00,0.00,11.21,31.92
360.00,0.00,24.63,0.00,0.00,58.00,0.00,8.67,24.70
348.00,1.00,23.05,1.00,0.00,56.00,0.00,11.45,20.49
384.00,0.81,37.70,2.00,3.00,111.00,0.07,14.25,58.17
452.00,0.00,60.03,2.00,3.00,143.00,5.22,9.69,68.05
437.00,0.00,44.96,4.00,5.00,127.00,2.37,11.84,67.82
439.00,0.00,31.99,2.00,0.00,87.00,2.16,10.42,42.42
426.00,0.00,30.19,1.00,0.00,82.00,2.23,15.35,34.23
415.00,0.26,32.18,9.00,1.00,84.00,1.31,12.43,37.81
304.00,0.00,34.12,10.00,1.00,80.00,0.00,10.47,35.42
340.00,0.00,29.14,1.00,1.00,89.00,0.24,11.75,47.88
311.00,0.09,53.10,0.00,0.00,108.00,3.96,7.47,43.39
298.00,0.00,29.64,0.00,0.00,74.00,0.00,15.00,29.36
409.00,0.00,39.30,1.00,0.00,107.00,1.06,17.85,48.80
369.00,0.00,21.99,2.00,0.00,62.00,1.26,7.98,30.78
394.00,0.00,41.29,1.00,1.00,111.00,2.76,13.72,53.23
444.00,0.00,66.59,2.00,2.00,159.00,3.38,14.59,74.44
440.00,0.95,54.87,1.00,2.00,137.00,3.52,14.65,63.00
462.00,0.00,41.67,1.00,1.00,121.00,0.56,12.57,66.20
426.00,0.00,39.11,1.00,0.00,116.00,0.29,17.11,59.48
419.00,0.00,47.91,5.00,1.00,125.00,0.21,12.64,64.23
375.00,0.00,39.49,7.00,0.00,97.00,0.00,10.72,46.79
375.00,0.00,59.19,21.00,1.00,155.00,0.23,14.65,80.93
335.00,0.00,78.53,2.00,0.00,170.00,1.50,14.15,75.82
326.00,0.00,39.46,0.00,0.00,90.00,0.60,9.22,40.71
449.00,0.00,35.38,3.00,3.00,79.00,1.49,5.53,36.60
386.00,0.00,35.36,1.00,1.00,101.00,1.25,7.14,57.26
452.00,1.27,47.36,0.00,0.00,129.00,1.39,12.94,66.04
493.00,0.49,42.49,1.00,0.00,124.00,2.16,20.31,58.56
480.00,0.00,42.87,3.00,0.00,136.00,1.67,15.02,76.44
540.00,0.00,43.07,1.00,0.00,128.00,2.77,19.57,62.58
526.00,1.10,40.79,1.00,1.00,142.00,2.31,32.11,65.69
518.00,0.00,27.16,2.00,0.00,89.00,0.73,17.12,43.99
415.00,0.00,31.94,2.00,0.00,86.00,0.00,16.05,38.01
423.00,1.00,26.70,0.00,0.00,82.00,0.00,13.73,40.57
454.00,0.00,46.66,3.00,0.00,123.00,0.06,8.62,67.66
