arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
1516.00,0.40,107.47,1.00,2.00,261.00,16.17,79.37,57.58
1325.00,0.00,55.25,0.00,0.00,108.00,1.17,23.71,27.87
1421.00,0.00,49.03,65.00,1.00,113.00,1.89,36.46,25.62
1262.00,0.00,45.82,0.00,5.00,162.00,6.86,78.44,30.89
1526.00,1.00,125.69,23.00,2.00,323.00,4.74,64.07,127.50
1564.00,0.00,108.94,6.00,1.00,294.00,13.19,66.30,105.57
1509.00,0.00,90.23,0.00,2.00,257.00,11.16,68.74,86.88
1516.00,0.00,68.52,0.00,1.00,187.00,1.17,75.84,41.47
1568.00,0.00,50.13,0.00,3.00,151.00,6.12,57.16,37.59
1707.00,1.00,66.53,0.00,7.00,255.00,9.77,120.18,57.52
1493.00,0.00,59.76,6.00,1.00,195.00,14.87,66.06,54.32
1554.00,0.00,70.55,19.00,1.00,247.00,15.13,97.58,63.74
1482.00,0.00,82.47,1.00,0.00,265.00,20.57,91.35,70.60
1287.00,0.00,51.14,0.00,0.00,124.00,5.22,43.66,23.98
1349.00,0.00,53.11,0.00,0.00,114.00,0.92,40.97,19.01
1232.00,0.00,39.08,0.00,2.00,116.00,6.78,49.24,20.90
1436.00,0.00,84.49,2.00,7.00,312.00,21.01,157.71,48.79
1437.00,0.00,85.80,4.00,11.00,281.00,15.49,100.84,78.88
1403.00,0.00,85.75,6.00,13.00,288.00,15.02,99.52,87.70
1457.00,0.00,82.48,4.00,1.00,196.00,13.10,53.08,47.34
1448.00,0.00,78.22,3.00,3.00,231.00,5.59,98.13,49.06
1583.00,0.95,115.37,20.00,0.00,306.00,10.94,106.16,72.58
1287.00,0.00,88.94,32.00,3.00,270.00,23.78,91.97,65.31
1371.00,0.00,69.54,18.00,1.00,200.00,15.68,71.86,42.92
1419.00,0.00,66.73,1.00,0.00,167.00,3.22,64.36,32.69
1276.00,0.00,59.11,1.00,0.00,234.00,8.06,129.77,37.06
1270.00,0.00,63.88,0.00,0.00,152.00,3.65,46.53,37.94
1196.00,0.00,51.52,0.00,1.00,157.00,7.70,67.26,30.52
1383.00,0.00,88.01,4.00,7.00,241.00,18.77,98.40,35.82
1395.00,0.00,102.00,3.00,4.00,282.00,10.35,117.80,51.85
1353.00,0.00,82.65,2.00,6.00,242.00,11.26,88.01,60.08
1421.00,0.00,95.90,2.00,3.00,254.00,3.94,94.81,59.35
1420.00,0.00,88.14,0.00,9.00,231.00,10.09,88.56,44.21
1542.00,0.00,90.03,0.00,1.00,248.00,4.79,95.95,57.23
1257.00,0.00,86.88,41.00,2.00,263.00,20.19,103.67,52.27
1354.00,0.00,127.08,53.00,2.00,355.00,43.40,118.85,65.67
1380.00,0.00,93.28,1.00,0.00,254.00,11.92,98.85,49.95
1311.00,0.38,42.65,0.00,0.00,122.00,2.70,49.66,26.61
1337.00,0.00,53.75,0.00,0.00,113.00,0.00,31.46,27.78
1230.00,0.00,44.80,0.00,2.00,114.00,3.00,41.57,24.62
1467.00,0.00,87.27,0.00,4.00,216.00,2.15,71.15,55.43
1482.00,0.00,130.19,5.00,4.00,356.00,9.56,107.99,108.25
