arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
4498.00,4.76,249.09,38.00,12.00,814.00,20.54,328.28,211.32
4612.00,2.90,321.44,15.00,11.00,968.00,31.59,360.48,251.60
4278.00,2.29,201.82,3.00,2.00,535.00,3.79,180.18,146.92
4224.00,0.18,197.15,193.00,2.00,528.00,7.35,172.38,150.94
3998.00,0.67,222.77,9.00,7.00,758.00,16.85,324.72,192.99
4569.00,5.08,372.43,103.00,42.00,1291.00,29.96,443.94,439.58
4733.00,4.05,382.28,63.00,10.00,1273.00,58.10,416.91,411.66
4648.00,3.00,395.92,31.00,19.00,1253.00,35.91,432.20,385.97
4801.00,5.04,281.00,26.00,16.00,964.00,23.65,376.93,277.38
4505.00,2.55,253.32,14.00,9.00,789.00,19.22,320.26,193.64
4715.00,8.54,292.99,13.00,12.00,1149.00,19.66,545.30,282.52
4363.00,3.29,214.18,27.00,6.00,798.00,18.65,341.13,220.76
4628.00,7.77,335.41,135.00,42.00,1222.00,31.03,602.39,245.41
4705.00,10.44,347.04,40.00,15.00,1112.00,22.26,464.41,267.85
4283.00,6.84,211.71,9.00,11.00,619.00,13.71,221.68,165.06
4369.00,2.46,205.23,14.00,7.00,552.00,10.95,185.89,147.48
4209.00,3.44,218.91,23.00,27.00,863.00,18.92,421.84,199.90
4660.00,1.67,287.43,59.00,26.00,1071.00,41.75,434.09,306.05
4721.00,1.79,319.23,32.00,37.00,1109.00,23.22,397.13,367.63
4265.00,3.99,305.00,32.00,16.00,957.00,30.41,286.43,331.17
4400.00,1.57,254.43,16.00,5.00,844.00,27.71,316.48,243.80
4343.00,0.72,209.69,10.00,6.00,706.00,17.14,274.20,204.25
4466.00,1.00,283.86,73.00,2.00,920.00,18.26,327.06,289.82
3906.00,1.29,223.42,110.00,16.00,812.00,54.36,337.37,195.56
4330.00,2.83,261.12,87.00,17.00,1002.00,36.55,392.40,309.09
4258.00,0.67,294.53,8.00,9.00,959.00,6.14,364.32,293.33
3849.00,0.29,207.31,9.00,4.00,732.00,12.21,330.27,181.93
3609.00,1.88,138.59,6.00,3.00,428.00,7.60,140.72,139.22
3371.00,0.00,148.04,8.00,13.00,413.00,4.13,169.49,91.34
3886.00,0.04,194.64,14.00,23.00,745.00,27.76,257.26,265.29
4046.00,2.71,231.96,19.00,41.00,999.00,34.83,370.77,358.73
4044.00,0.00,176.45,22.00,49.00,749.00,30.96,249.50,292.10
4149.00,0.00,175.41,32.00,29.00,579.00,16.91,180.33,206.35
4037.00,1.00,121.42,4.00,5.00,501.00,15.30,201.03,162.25
4391.00,0.50,137.81,58.00,20.00,636.00,23.01,250.43,224.24
3966.00,0.07,148.58,106.00,17.00,586.00,45.31,208.74,183.30
4360.00,1.00,211.46,104.00,4.00,848.00,88.10,279.48,267.96
4358.00,2.30,236.39,56.00,4.00,856.00,73.85,257.47,285.98
3816.00,4.10,136.86,9.00,7.00,420.00,9.83,119.74,149.47
3780.00,0.00,121.87,1.00,5.00,356.00,8.39,84.15,141.59
3594.00,0.87,137.49,6.00,6.00,451.00,24.22,121.74,166.69
4056.00,0.96,163.31,10.00,3.00,536.00,20.43,155.28,196.02
4122.00,0.94,202.27,33.00,14.00,859.00,35.73,268.28,351.78
3965.00,0.34,198.24,29.00,16.00,851.00,47.76,270.50,334.16
4014.00,0.19,166.92,15.00,34.00,631.00,24.14,202.94,236.80
3894.00,0.00,201.55,64.00,18.00,875.00,21.87,328.04,323.55
4151.00,0.00,176.52,25.00,7.00,686.00,28.41,244.89,236.19
3740.00,0.00,166.34,47.00,6.00,615.00,30.89,217.80,199.97
4131.00,3.82,219.25,28.00,1.00,704.00,23.87,228.68,228.39
4128.00,2.26,252.37,56.00,2.00,826.00,20.72,248.25,302.41
3720.00,0.00,286.64,38.00,4.00,728.00,6.87,216.75,217.75
3582.00,0.35,332.41,145.00,8.00,1016.00,13.91,350.61,318.72
3464.00,1.47,369.64,69.00,10.00,1268.00,16.96,485.47,394.46
3813.00,1.00,212.21,162.00,24.00,876.00,42.07,355.76,264.96
3950.00,1.00,217.60,23.00,9.00,748.00,39.86,250.97,238.57
3804.00,2.70,201.47,31.00,25.00,736.00,33.61,253.22,245.00
3895.00,0.86,170.78,9.00,27.00,717.00,41.83,251.73,251.80
3782.00,1.72,147.94,18.00,12.00,500.00,14.37,185.60,150.37
4035.00,1.00,188.88,21.00,17.00,672.00,24.79,254.52,202.81
3780.00,0.00,147.38,17.00,1.00,412.00,10.61,137.21,116.80
4079.00,1.00,165.91,17.00,4.00,523.00,27.78,179.22,149.08
4060.00,0.00,249.70,19.00,5.00,650.00,14.81,182.68,202.81
3668.00,0.06,206.20,8.00,1.00,471.00,7.42,95.81,161.50
3597.00,0.81,197.37,29.00,10.00,587.00,27.18,209.29,152.35
3511.00,1.00,223.77,30.00,10.00,681.00,24.88,241.10,190.25
3842.00,0.00,276.07,212.00,24.00,954.00,92.12,277.24,308.57
3946.00,0.65,272.17,77.00,11.00,845.00,79.64,238.48,254.06
3767.00,1.32,242.66,74.00,47.00,740.00,66.52,200.79,228.71
3774.00,0.00,222.73,48.00,6.00,542.00,35.28,117.96,166.03
3727.00,0.00,173.70,66.00,20.00,689.00,66.46,218.73,230.11
3896.00,1.00,202.24,219.00,6.00,709.00,16.09,257.66,232.01
3537.00,3.01,209.22,92.00,6.00,599.00,52.90,147.87,186.00
3957.00,0.00,279.15,121.00,25.00,849.00,59.42,270.17,240.26
3937.00,3.52,260.15,85.00,7.00,698.00,60.40,173.87,200.06
3533.00,1.00,169.77,8.00,7.00,480.00,9.30,200.24,99.69
3446.00,0.00,155.53,12.00,1.00,440.00,9.52,152.94,122.01
3331.00,0.69,164.40,30.00,9.00,554.00,18.70,227.47,142.74
3583.00,1.00,239.82,67.00,8.00,805.00,37.14,276.73,250.31
3639.00,2.20,225.57,45.00,6.00,727.00,26.89,255.28,217.06
3484.00,0.10,227.97,101.00,14.00,769.00,34.76,281.62,224.55
3565.00,1.63,235.75,39.00,5.00,669.00,19.65,196.81,215.16
3468.00,1.35,231.45,33.00,23.00,635.00,9.08,197.72,195.39
3666.00,0.69,285.96,36.00,10.00,925.00,32.17,326.50,279.68
3313.00,1.29,238.19,146.00,10.00,770.00,45.72,275.24,209.56
3659.00,3.76,267.69,59.00,2.00,797.00,39.60,253.07,232.87
3648.00,5.50,311.74,73.00,7.00,999.00,77.88,332.72,271.16
3290.00,0.11,196.34,13.00,6.00,488.00,5.38,137.11,149.06
3255.00,0.74,210.31,13.00,4.00,542.00,8.39,121.35,201.21
3150.00,2.05,154.79,13.00,5.00,546.00,24.64,201.10,163.42
3447.00,3.89,234.25,36.00,8.00,832.00,54.51,272.12,267.23
3502.00,0.65,305.00,38.00,14.00,1131.00,69.59,416.61,339.15
3394.00,2.59,286.68,54.00,23.00,1161.00,98.24,385.72,387.77
3503.00,1.30,228.56,29.00,19.00,984.00,41.21,427.21,285.72
3403.00,0.97,241.00,12.00,11.00,885.00,17.59,357.33,268.11
3575.00,0.00,213.79,34.00,12.00,688.00,23.10,241.32,209.78
3228.00,0.15,194.91,36.00,8.00,566.00,15.24,173.82,181.88
3576.00,0.00,245.44,36.00,8.00,950.00,77.01,391.67,235.88
3571.00,2.39,306.54,43.00,7.00,1128.00,84.44,436.11,298.52
3443.00,1.94,192.12,18.00,4.00,657.00,6.53,292.90,163.51
