arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
3475.00,0.00,172.13,46.00,16.00,553.00,23.82,132.24,224.81
3411.00,1.00,186.06,41.00,9.00,572.00,11.99,89.34,283.60
3216.00,1.00,98.48,3.00,1.00,296.00,1.68,34.57,160.28
2853.00,0.00,97.50,199.00,3.00,239.00,2.04,40.81,98.66
2594.00,0.00,110.35,3.00,19.00,369.00,23.39,104.39,130.87
2999.00,1.00,158.82,7.00,15.00,568.00,32.32,142.37,233.49
3768.00,1.30,268.69,74.00,13.00,835.00,29.42,129.38,406.22
3610.00,2.06,196.40,24.00,14.00,701.00,23.72,132.11,346.70
3532.00,0.00,161.39,11.00,15.00,527.00,21.43,132.14,212.04
3749.00,0.09,158.67,31.00,8.00,523.00,18.88,117.21,228.15
3999.00,1.53,178.59,16.00,38.00,785.00,55.48,269.03,280.37
3200.00,0.50,113.04,19.00,2.00,342.00,8.87,78.80,140.79
3426.00,0.00,144.62,75.00,3.00,450.00,6.41,106.55,192.42
3455.00,2.99,234.01,27.00,3.00,659.00,7.59,111.23,303.17
3342.00,0.55,132.49,16.00,8.00,352.00,0.65,56.83,161.48
2684.00,0.00,136.82,1.00,0.00,294.00,2.84,40.39,113.96
2606.00,3.00,117.77,3.00,6.00,367.00,10.79,98.23,137.21
3088.00,1.04,195.72,34.00,31.00,665.00,45.67,179.73,242.84
3746.00,0.00,254.95,17.00,44.00,864.00,43.62,136.48,428.95
3685.00,3.28,231.73,49.00,48.00,791.00,33.61,128.02,394.36
3712.00,1.44,195.69,18.00,5.00,588.00,11.46,78.17,301.23
3737.00,0.63,155.74,13.00,12.00,529.00,12.98,97.15,262.51
4083.00,0.45,215.90,50.00,4.00,696.00,6.92,140.23,332.50
3082.00,2.00,178.32,100.00,3.00,577.00,17.35,137.49,241.84
3362.00,0.00,182.73,48.00,2.00,593.00,10.72,135.40,264.15
3233.00,5.60,210.93,6.00,0.00,668.00,3.96,152.29,295.22
2979.00,3.96,148.17,18.00,11.00,532.00,7.30,176.70,195.87
2509.00,0.30,140.50,3.00,1.00,430.00,2.82,52.74,233.64
2388.00,0.00,136.67,12.00,15.00,408.00,5.31,80.03,186.00
2746.00,1.12,189.90,8.00,32.00,646.00,19.46,142.23,293.29
3313.00,0.00,260.06,32.00,16.00,931.00,43.26,207.70,419.97
3258.00,0.00,232.02,24.00,27.00,781.00,18.64,140.26,390.08
3297.00,0.00,227.21,21.00,14.00,793.00,6.39,173.30,386.11
3266.00,1.00,217.03,10.00,24.00,772.00,20.01,187.26,346.70
3550.00,1.83,226.28,28.00,3.00,902.00,35.23,232.25,406.41
2767.00,0.30,211.38,87.00,8.00,753.00,28.53,195.91,316.88
2815.00,4.31,287.69,119.00,2.00,995.00,14.16,267.42,421.42
2974.00,8.76,321.67,20.00,4.00,1178.00,10.76,297.06,539.76
2684.00,1.79,141.41,5.00,2.00,463.00,2.04,104.96,212.80
2012.00,1.31,95.97,1.00,1.00,306.00,0.32,49.98,158.42
1794.00,0.00,97.72,3.00,8.00,287.00,2.29,46.80,140.19
2045.00,0.67,141.50,3.00,10.00,498.00,7.54,125.36,222.92
2391.00,2.76,154.57,6.00,12.00,573.00,11.72,147.71,256.23
2347.00,0.82,198.64,3.00,7.00,706.00,16.24,171.26,319.04
2477.00,2.80,127.54,4.00,2.00,428.00,7.65,81.42,208.60
2608.00,1.98,112.16,6.00,3.00,525.00,12.62,173.86,224.37
2932.00,2.02,124.73,15.00,10.00,601.00,24.41,212.16,237.68
2307.00,1.87,98.00,43.00,2.00,349.00,4.84,105.58,138.71
2271.00,1.92,126.20,8.00,0.00,375.00,7.48,85.76,153.65
2496.00,5.81,155.57,17.00,0.00,558.00,12.07,113.35,271.20
2396.00,0.78,100.30,5.00,1.00,268.00,3.86,34.70,128.36
2405.00,1.16,133.36,46.00,2.00,395.00,2.90,70.13,187.46
2109.00,1.04,69.29,6.00,5.00,252.00,2.95,51.75,126.97
2564.00,3.00,130.30,24.00,5.00,551.00,23.51,131.96,262.24
3128.00,3.90,169.87,22.00,8.00,625.00,17.95,104.96,328.32
3034.00,0.48,158.69,14.00,11.00,520.00,5.92,90.86,264.05
3072.00,1.67,124.67,16.00,4.00,485.00,11.05,113.46,234.15
3030.00,0.04,104.45,8.00,4.00,368.00,10.30,57.20,196.02
3214.00,1.62,121.92,2.00,7.00,497.00,12.01,116.88,244.57
2941.00,0.59,110.59,5.00,5.00,323.00,5.11,73.47,133.25
3039.00,0.95,74.98,23.00,2.00,228.00,7.46,29.79,114.81
2728.00,0.00,86.73,0.00,1.00,245.00,0.09,21.98,136.19
2606.00,0.00,67.06,6.00,1.00,198.00,2.20,19.42,109.32
2712.00,0.44,113.12,5.00,3.00,397.00,1.66,108.07,173.71
2398.00,1.00,77.80,7.00,3.00,304.00,10.07,43.77,171.35
2823.00,2.24,91.15,46.00,7.00,339.00,13.20,42.23,190.19
3220.00,3.74,98.79,11.00,14.00,433.00,28.24,88.90,213.32
3112.00,3.46,128.12,12.00,14.00,493.00,12.92,88.81,259.69
3065.00,2.71,133.84,9.00,17.00,500.00,25.66,54.45,283.34
3329.00,3.26,162.42,44.00,6.00,606.00,13.58,107.18,319.57
3341.00,2.84,123.71,2.00,3.00,538.00,28.95,128.41,254.09
2708.00,6.47,144.48,77.00,2.00,488.00,15.77,83.38,237.90
2916.00,12.58,164.73,48.00,5.00,620.00,18.92,101.19,322.59
2881.00,6.04,201.40,50.00,3.00,623.00,11.19,68.30,336.07
2715.00,2.45,121.04,5.00,2.00,426.00,1.08,80.73,220.71
2698.00,3.02,154.05,3.00,0.00,457.00,2.59,52.34,245.00
2593.00,0.00,76.95,11.00,11.00,290.00,4.79,58.43,149.83
2970.00,1.82,130.29,6.00,6.00,469.00,10.70,100.61,225.58
3260.00,5.55,157.41,5.00,7.00,610.00,15.80,84.36,346.87
3170.00,1.80,151.40,13.00,3.00,561.00,23.96,72.51,311.33
3233.00,2.01,114.06,7.00,4.00,419.00,9.96,50.15,242.82
3208.00,2.06,114.10,7.00,3.00,335.00,5.57,50.68,162.60
3156.00,3.90,154.25,6.00,14.00,574.00,9.57,137.84,268.44
2607.00,2.54,117.25,115.00,1.00,461.00,17.53,110.66,213.02
2816.00,3.41,132.85,18.00,1.00,470.00,11.47,106.07,216.20
2815.00,4.15,189.06,36.00,2.00,742.00,22.03,156.37,370.39
2718.00,0.62,68.65,8.00,0.00,198.00,0.68,19.17,108.87
2685.00,0.95,109.90,3.00,2.00,339.00,2.29,30.50,195.36
2587.00,0.36,71.09,8.00,0.00,200.00,2.13,24.57,101.86
2960.00,0.74,123.05,4.00,3.00,484.00,16.03,118.73,225.46
3222.00,1.28,149.99,1.00,12.00,546.00,10.27,102.80,281.66
3204.00,0.93,117.70,8.00,15.00,544.00,21.13,132.08,272.16
3388.00,2.80,137.33,10.00,14.00,518.00,10.02,141.66,226.20
3508.00,1.43,120.61,3.00,2.00,526.00,12.14,106.75,285.07
3564.00,8.35,124.47,30.00,3.00,459.00,3.58,96.18,226.42
2912.00,1.20,63.74,1.00,1.00,201.00,8.91,30.07,97.07
3226.00,7.23,112.15,40.00,4.00,513.00,25.84,150.80,216.98
3244.00,6.64,193.51,46.00,2.00,819.00,28.77,149.95,440.13
3257.00,0.74,74.87,17.00,2.00,340.00,3.34,66.69,194.35
3244.00,2.00,92.46,13.00,4.00,286.00,2.00,37.65,151.89
